station,line,terminus,route,geometry
Chiswick Road,GREEN,N,B - Boston College,POINT (-71.15095131519753 42.340618123250536)
Chestnut Hill Avenue,GREEN,N,B - Boston College,POINT (-71.15265529733952 42.338577809157194)
Reservoir,GREEN,N,D - Riverside,POINT (-71.14837901826795 42.33513994940611)
Cleveland Circle,GREEN,Y,C - Cleveland Circle,POINT (-71.1492866308236 42.33613675522919)
Englewood Avenue,GREEN,N,C - Cleveland Circle,POINT (-71.14549839312912 42.336984844641556)
Sutherland Road,GREEN,N,B - Boston College,POINT (-71.14632990180276 42.34156153835266)
Boston College,GREEN,Y,B - Boston College,POINT (-71.16702496377398 42.34015547903941)
Chestnut Hill,GREEN,N,D - Riverside,POINT (-71.16460873440325 42.32674182205943)
South Street,GREEN,N,B - Boston College,POINT (-71.15726165487088 42.339454079717136)
Beachmont,BLUE,N,Bowdoin to Wonderland,POINT (-70.99253225088651 42.39725168634875)
Revere Beach,BLUE,N,Bowdoin to Wonderland,POINT (-70.99250348689081 42.40784244467226)
Chelsea,SILVER,Y,SL3,POINT (-71.04039297668486 42.39680220869161)
Bellingham Square,SILVER,N,SL3,POINT (-71.03346704415158 42.395402428542816)
Maverick,BLUE,N,Bowdoin to Wonderland,POINT (-71.03957976450724 42.36899302120057)
Airport,SILVER,N,SL3,POINT (-71.02980632882105 42.37415261766858)
Airport,BLUE,N,Bowdoin to Wonderland,POINT (-71.0302245051436 42.374362742215276)
Box District,SILVER,N,SL3,POINT (-71.028465979263 42.39411674637199)
Wood Island,BLUE,N,Bowdoin to Wonderland,POINT (-71.02291228772631 42.3796474757774)
Eastern Avenue,SILVER,N,SL3,POINT (-71.02393379281976 42.388458140146604)
Airport Terminal E,SILVER,Y,SL1,POINT (-71.02102932407607 42.369638080306906)
Airport Terminal A,SILVER,N,SL1,POINT (-71.02115393310328 42.364725601431054)
Airport Terminal B1,SILVER,N,SL1,POINT (-71.01854353607213 42.361339687545)
Airport Terminal B2,SILVER,N,SL1,POINT (-71.0183677133769 42.36307525124265)
Airport Terminal C,SILVER,N,SL1,POINT (-71.0178324362378 42.36723633680385)
Suffolk Downs,BLUE,N,Bowdoin to Wonderland,POINT (-70.99714972554793 42.3904965037516)
Orient Heights,BLUE,N,Bowdoin to Wonderland,POINT (-71.00479639608977 42.38684168395694)
23 Dry Dock Ave,SILVER,N,SL2,POINT (-71.03039536908112 42.34468636357627)
27 Dry Dock Ave,SILVER,N,SL2,POINT (-71.02805998138477 42.34472932566519)
Black Falcon Ave,SILVER,N,SL2,POINT (-71.02721502642216 42.34417144543223)
88 Black Falcon Ave,SILVER,N,SL2,POINT (-71.02632573570759 42.34366169500071)
Tide St,SILVER,N,SL2,POINT (-71.03205071900382 42.34521754228384)
Design Center,SILVER,Y,SL2,POINT (-71.03460702349278 42.344582083008696)
Harbor St,SILVER,N,SL2,POINT (-71.03497768711229 42.34656005772815)
Northern Ave,SILVER,N,SL2,POINT (-71.03635388563171 42.34760068883055)
World Trade Center,SILVER,N,SL1 SL2 SL3,POINT (-71.0426294798708 42.34834155557339)
Silver Line Way,SILVER,N,SL1 SL2 SL3,POINT (-71.03803715084774 42.34696992861412)
Beaconsfield,GREEN,N,D - Riverside,POINT (-71.1402592726444 42.33569222506414)
Tappan Street,GREEN,N,C - Cleveland Circle,POINT (-71.13844138461039 42.33851885992807)
Dean Road,GREEN,N,C - Cleveland Circle,POINT (-71.14195534198512 42.337714375624046)
Washington Street,GREEN,N,B - Boston College,POINT (-71.14254885109588 42.3441233303365)
Allston Street,GREEN,N,B - Boston College,POINT (-71.1376368003955 42.348576135425915)
Warren Street,GREEN,N,B - Boston College,POINT (-71.14024039494412 42.34862369021382)
Griggs Street,GREEN,N,B - Boston College,POINT (-71.1343646264005 42.348819553168795)
Fairbanks Street,GREEN,N,C - Cleveland Circle,POINT (-71.13129703277495 42.33964029656113)
Washington Square,GREEN,N,C - Cleveland Circle,POINT (-71.13536707671093 42.33932745620798)
Brookline Hills,GREEN,N,D - Riverside,POINT (-71.12672740319205 42.33129463063719)
Summit Avenue,GREEN,N,C - Cleveland Circle,POINT (-71.12578786984481 42.34102840566117)
Brandon Hall,GREEN,N,C - Cleveland Circle,POINT (-71.12865720038602 42.340053678507644)
Harvard Avenue,GREEN,N,B - Boston College,POINT (-71.1310072612046 42.35041181523634)
Packards Corner,GREEN,N,B - Boston College,POINT (-71.12522582974303 42.351785853779965)
Babcock Street,GREEN,N,B - Boston College,POINT (-71.11992011976145 42.351593092103876)
Coolidge Corner,GREEN,N,C - Cleveland Circle,POINT (-71.12129543781774 42.34215002595458)
Brookline Village,GREEN,N,D - Riverside,POINT (-71.11682793523127 42.332594704850145)
Saint Paul Street,GREEN,N,C - Cleveland Circle,POINT (-71.11718908594237 42.34321046514278)
Amory Street,GREEN,N,B - Boston College,POINT (-71.11470750830601 42.35096620687236)
Kent Street,GREEN,N,C - Cleveland Circle,POINT (-71.11429128677955 42.34401016166201)
Hawes Street,GREEN,N,C - Cleveland Circle,POINT (-71.11117480121169 42.344859956581516)
Longwood,GREEN,N,D - Riverside,POINT (-71.1099345694011 42.34166915699724)
Boston University Central,GREEN,N,B - Boston College,POINT (-71.10703612039781 42.35004079737983)
Saint Marys Street,GREEN,N,C - Cleveland Circle,POINT (-71.10723956453211 42.3459874119705)
Mission Park,GREEN,N,E - Health Street,POINT (-71.10958496345776 42.33317944955089)
Heath Street,GREEN,Y,E - Health Street,POINT (-71.11028101747388 42.32831132476876)
Riverway,GREEN,N,E - Health Street,POINT (-71.1119506665046 42.33197804818622)
Back Of The Hill,GREEN,N,E - Health Street,POINT (-71.11107040797123 42.329638290807786)
Brigham Circle,GREEN,N,E - Health Street,POINT (-71.10372418778006 42.3345710901447)
Fenwood Road,GREEN,N,E - Health Street,POINT (-71.10564567075242 42.333745446783524)
Fenway,GREEN,N,D - Riverside,POINT (-71.10460442799912 42.34515867750017)
Boston University East,GREEN,N,B - Boston College,POINT (-71.10442793961346 42.349721182614445)
Blandford Street,GREEN,N,B - Boston College,POINT (-71.10005558725084 42.34919811724799)
Kenmore,GREEN,N,B C D,POINT (-71.09534868324472 42.34881432567075)
Museum Of Fine Arts,GREEN,N,E - Health Street,POINT (-71.09497605117373 42.337925179373016)
Longwood Medical Area,GREEN,N,E - Health Street,POINT (-71.0995609990649 42.33614104938794)
Jackson Square,ORANGE,N,Forest Hills to Oak Grove,POINT (-71.09993247624864 42.323171661947306)
Roxbury Crossing,ORANGE,N,Forest Hills to Oak Grove,POINT (-71.09572883331049 42.33120955699616)
Courthouse,SILVER,N,SL1 SL2 SL3,POINT (-71.0468886319151 42.35238497778999)
Aquarium,BLUE,N,Bowdoin to Wonderland,POINT (-71.05193843451966 42.35951700255664)
Essex St @ Atlantic Ave,SILVER,N,SL4,POINT (-71.0561270140866 42.3518986277122)
South Station,RED,N,A - Ashmont  B - Braintree  C - Alewife,POINT (-71.05517164048173 42.352593022463275)
South Station,SILVER,N,SL1 SL2 SL3,POINT (-71.05527658260725 42.35261634979209)
State,BLUE/ORANGE,N,BLUE Bowdoin to Wonderland / ORANGE Forest Hills to Oak Grove,POINT (-71.05781905415306 42.35879938356555)
Government Center,BLUE/GREEN,N,BLUE Bowdoin to Wonderland / GREEN B C D E,POINT (-71.05945866860641 42.35929663861862)
Downtown Crossing,ORANGE/RED,N,ORANGE Forest Hills to Oak Grove / RED A - Ashmont  B - Braintree  C - Alewife,POINT (-71.06049310656165 42.35545012760357)
Park Street,GREEN/RED,N,GREEN B C D E / RED A - Ashmont  B - Braintree  C - Alewife,POINT (-71.06224495444937 42.35630568300143)
Temple Pl @ Washington St,SILVER,N,SL5,POINT (-71.06116276024314 42.35480810269648)
Chinatown,ORANGE,N,Forest Hills to Oak Grove,POINT (-71.0625805399045 42.352474174475496)
Chinatown Gate,SILVER,N,SL4,POINT (-71.05969900815428 42.350371287036005)
Broadway,RED,N,A - Ashmont  B - Braintree  C - Alewife,POINT (-71.05717003936692 42.34258172635093)
Andrew,RED,N,A - Ashmont  B - Braintree  C - Alewife,POINT (-71.05697754583161 42.33011326556715)
East Berkeley Street,SILVER,N,SL4 SL5,POINT (-71.0661960269094 42.34377452232062)
East Berkeley Street,SILVER,N,SL4 SL5,POINT (-71.06579486653025 42.344133970586626)
Herald Street,SILVER,N,SL4 SL5,POINT (-71.06489500046077 42.345625622422226)
Tuffs Medical Center,SILVER,N,SL4 SL5,POINT (-71.06380705552617 42.34964000357854)
Tuffs Medical Center,SILVER,N,SL4 SL5,POINT (-71.06369205121163 42.349610670630774)
Tufts Medical Center,ORANGE,N,Forest Hills to Oak Grove,POINT (-71.06391632304805 42.34983940229731)
Herald Street,SILVER,N,SL4 SL5,POINT (-71.06471962185388 42.3464117334102)
Boylston,GREEN,N,B C D E,POINT (-71.06460214050705 42.35302135604842)
Tremont St @ Boylston Station,SILVER,N,SL5,POINT (-71.06419884195559 42.35337074220404)
Arlington,GREEN,N,B C D E,POINT (-71.07098957208008 42.35176848712434)
Union Park Street,SILVER,N,SL4 SL5,POINT (-71.06921600628873 42.341434844817165)
Back Bay,ORANGE,N,Forest Hills to Oak Grove,POINT (-71.07510604124808 42.34755913616141)
Prudential,GREEN,N,E - Health Street,POINT (-71.0811990921598 42.34576815177651)
Copley,GREEN,N,B C D E,POINT (-71.07797545346571 42.34990763618156)
Worcester Street,SILVER,N,SL4 SL5,POINT (-71.0758771642672 42.337371087239106)
Worcester Street,SILVER,N,SL4 SL5,POINT (-71.07539890802553 42.337555075151954)
Massachusetts Ave,SILVER,N,SL4 SL5,POINT (-71.0771997582822 42.33624970827537)
Massachusetts Ave,SILVER,N,SL4 SL5,POINT (-71.0773046770291 42.33632439541882)
Melnea Cass Blvd,SILVER,N,SL4 SL5,POINT (-71.08119881376005 42.332701714546936)
Melnea Cass Blvd,SILVER,N,SL4 SL5,POINT (-71.08080190137493 42.333105405722485)
Lenox St,SILVER,N,SL4 SL5,POINT (-71.07906038116813 42.334929269319446)
Lenox St,SILVER,N,SL4 SL5,POINT (-71.07854226690914 42.3351666999244)
West Newton Street,SILVER,N,SL4 SL5,POINT (-71.07375725820809 42.33869089349582)
West Newton Street,SILVER,N,SL4 SL5,POINT (-71.0738832991941 42.338759795572166)
Union Park Street,SILVER,N,SL4 SL5,POINT (-71.07136914614169 42.34042089061868)
Ruggles,ORANGE,N,Forest Hills to Oak Grove,POINT (-71.0897703059255 42.336452778173474)
Northeastern,GREEN,N,E - Health Street,POINT (-71.08965205449368 42.34005067336385)
Nubian,SILVER,Y,SL4 SL5,POINT (-71.08371931369909 42.32970403366521)
Massachusetts Ave,ORANGE,N,Forest Hills to Oak Grove,POINT (-71.08375675766226 42.34131397385539)
Hynes Convention Center,GREEN,N,B C D,POINT (-71.08731455766731 42.34798232551777)
Symphony,GREEN,N,E - Health Street,POINT (-71.08494060841477 42.342720378281456)
Kendall/MIT,RED,N,A - Ashmont  B - Braintree  C - Alewife,POINT (-71.0861914936101 42.36241538527464)
East Somerville,GREEN,N,E - Medford/Tufts,POINT (-71.08654300348256 42.37944774319145)
Wellington,ORANGE,N,Forest Hills to Oak Grove,POINT (-71.07711743870601 42.40174009293773)
Assembly,ORANGE,N,Forest Hills to Oak Grove,POINT (-71.07712533796926 42.39215595350793)
Sullivan Square,ORANGE,N,Forest Hills to Oak Grove,POINT (-71.07693157338181 42.38429745849983)
Lechmere,GREEN,N,D E,POINT (-71.07650953004581 42.37162190626393)
Community College,ORANGE,N,Forest Hills to Oak Grove,POINT (-71.07033821611033 42.37390817324591)
Charles/MGH,RED,N,A - Ashmont  B - Braintree  C - Alewife,POINT (-71.07108060733016 42.361167662580776)
Science Park/West End,GREEN,N,D E,POINT (-71.06774398796713 42.3667424741473)
North Station,GREEN/ORANGE,N,GREEN D E / ORANGE Forest Hills to Oak Grove,POINT (-71.05998293486712 42.3651438022944)
Bowdoin,BLUE,Y,Bowdoin to Wonderland,POINT (-71.06183707183438 42.36116078850421)
Haymarket,GREEN/ORANGE,N,GREEN D E / ORANGE Forest Hills to Oak Grove,POINT (-71.05785165719617 42.36247256063694)
Gilman Square,GREEN,N,E - Medford/Tufts,POINT (-71.09627898254479 42.387748595719614)
Union Square,GREEN,Y,D - Union Square,POINT (-71.09507610195396 42.377464861020655)
Central,RED,N,A - Ashmont  B - Braintree  C - Alewife,POINT (-71.10382518010844 42.36543997951922)
Magoun Square,GREEN,N,E - Medford/Tufts,POINT (-71.10643683710965 42.393852071870455)
Medford/Tufts,GREEN,Y,E - Medford/Tufts,POINT (-71.11769947880843 42.40884018488126)
Ball Square,GREEN,N,E - Medford/Tufts,POINT (-71.11065157474523 42.39951881103101)
Porter,RED,N,A - Ashmont  B - Braintree  C - Alewife,POINT (-71.11911421887837 42.38832052019597)
Davis,RED,N,A - Ashmont  B - Braintree  C - Alewife,POINT (-71.12223401924955 42.39675189677787)
Harvard,RED,N,A - Ashmont  B - Braintree  C - Alewife,POINT (-71.1189060727659 42.374029271226966)
Alewife,RED,Y,A - Ashmont  B - Braintree  C - Alewife,POINT (-71.142077311987 42.39612106829555)
